func,v
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,39.6021
E,f,90.4697
E,f,139.819
E,f,187.65
E,f,233.962
E,f,278.756
E,f,322.031
E,f,363.788
E,f,404.027
E,f,442.747
E,f,479.949
E,f,515.632
E,f,549.797
E,f,582.443
E,f,613.571
E,f,643.181
E,f,671.272
E,f,697.844
E,f,722.898
E,f,746.434
E,f,768.452
E,f,788.95
E,f,807.931
E,f,825.393
E,f,841.337
E,f,855.762
E,f,868.668
E,f,880.057
E,f,889.927
E,f,898.278
E,f,905.111
E,f,910.425
E,f,914.221
E,f,916.499
E,f,917.258
E,f,916.499
E,f,914.221
E,f,910.425
E,f,905.111
E,f,898.278
E,f,889.927
E,f,880.057
E,f,868.668
E,f,855.762
E,f,841.337
E,f,825.393
E,f,807.931
E,f,788.95
E,f,768.452
E,f,746.434
E,f,722.898
E,f,697.844
E,f,671.272
E,f,643.181
E,f,613.571
E,f,582.443
E,f,549.797
E,f,515.632
E,f,479.949
E,f,442.747
E,f,404.027
E,f,363.788
E,f,322.031
E,f,278.756
E,f,233.962
E,f,187.65
E,f,139.819
E,f,90.4697
E,f,39.6021
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,14.4297
E,f,68.3341
E,f,120.72
E,f,171.588
E,f,220.937
E,f,268.768
E,f,315.08
E,f,359.874
E,f,403.149
E,f,444.906
E,f,485.145
E,f,523.865
E,f,561.067
E,f,596.75
E,f,630.915
E,f,663.561
E,f,694.689
E,f,724.299
E,f,752.39
E,f,778.962
E,f,804.017
E,f,827.552
E,f,849.57
E,f,870.069
E,f,889.049
E,f,906.511
E,f,922.455
E,f,936.88
E,f,949.786
E,f,961.175
E,f,971.045
E,f,979.396
E,f,986.229
E,f,991.544
E,f,995.34
E,f,997.617
E,f,998.376
E,f,997.617
E,f,995.34
E,f,991.544
E,f,986.229
E,f,979.396
E,f,971.045
E,f,961.175
E,f,949.786
E,f,936.88
E,f,922.455
E,f,906.511
E,f,889.049
E,f,870.069
E,f,849.57
E,f,827.552
E,f,804.017
E,f,778.962
E,f,752.39
E,f,724.299
E,f,694.689
E,f,663.561
E,f,630.915
E,f,596.75
E,f,561.067
E,f,523.865
E,f,485.145
E,f,444.906
E,f,403.149
E,f,359.874
E,f,315.08
E,f,268.768
E,f,220.937
E,f,171.588
E,f,120.72
E,f,68.3341
E,f,14.4297
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
